4119152,3.85,-5.83,-0.85,761.82,4.91,429.91
4119156,3.46,-6.13,-0.68,543.60,-0.48,299.25
4119159,3.23,-6.32,-0.51,391.83,-6.72,205.92
4119163,3.07,-6.50,-0.39,288.05,-12.12,139.27
4119168,2.93,-6.64,-0.31,216.53,-17.01,92.74
4119172,2.81,-6.78,-0.32,165.76,-20.41,60.52
4119176,2.73,-6.88,-0.36,127.20,-19.78,38.82
4119180,2.69,-6.96,-0.33,98.50,-11.75,22.89
4119184,2.55,-7.00,-0.19,83.91,5.72,19.83
4119187,2.42,-6.97,-0.02,83.76,12.08,22.55
4119191,2.55,-6.94,0.03,87.03,16.50,19.90
4119195,2.70,-6.91,-0.08,87.23,27.42,11.31
4119199,2.68,-6.92,-0.22,83.54,36.73,4.07
4119202,2.61,-6.96,-0.29,78.34,38.73,-1.19
4119206,2.55,-7.03,-0.27,72.94,40.16,-4.55
4119211,2.54,-7.09,-0.22,70.23,44.05,-6.25
4119215,2.49,-7.14,-0.14,70.41,52.91,-4.45
4119219,2.43,-7.15,-0.08,74.33,62.56,1.16
4119222,2.42,-7.15,-0.04,78.49,74.47,5.96
4119226,2.46,-7.06,-0.10,82.15,87.56,10.50
4119230,2.52,-6.97,-0.20,84.27,89.41,11.87
4119234,2.64,-6.93,-0.33,82.93,88.09,8.82
4119238,2.71,-6.92,-0.39,78.80,90.59,3.93
4119241,2.70,-6.93,-0.41,76.43,92.48,0.95
4119245,2.66,-6.93,-0.39,77.30,91.94,0.83
4119249,2.67,-6.93,-0.40,77.32,86.97,-0.36
4119254,2.73,-6.93,-0.45,75.40,81.16,-4.82
4119258,2.76,-6.93,-0.51,68.19,75.96,-11.85
4119261,2.72,-6.92,-0.56,57.62,71.59,-20.55
4119265,2.65,-6.93,-0.57,46.81,68.58,-28.73
4119269,2.58,-6.94,-0.52,38.20,65.30,-34.65
4119273,2.54,-6.96,-0.46,30.86,57.35,-40.34
4119277,2.51,-7.01,-0.41,24.62,50.71,-44.01
4119280,2.45,-7.05,-0.36,19.90,45.38,-45.70
4119284,2.38,-7.11,-0.35,15.98,40.69,-44.77
4119288,2.32,-7.14,-0.32,12.99,37.07,-40.56
